DFS ID,Name,Pos,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,PTS,Min,2PT,3PT,RB,Off Reb,Def Reb,AST,STL,BLK,TO
123093-157905,Josh Giddey,PG/SG,CHI,UTA,Confirmed,9200,67.1,49.35,65.9,49.35,5.364130434782609,25.64,19.854413946365213,0,100,123.2552,242.0745,50.1655,43.625,50.625,57.75,61.5,67.875,75.625,49.3488,42.75,49.85,57.25,61,67.65,75.8515,49.3488,42.75,49.85,57.25,61,67.65,75.8515,50.1425,43.7,50.65,57.85,61.45,68.05,75.601,10.3914,10.7262,10.7262,10.4361,20.7773,32.9348,6.74866,1.76575,9.31875,1.99683,7.32192,9.84258,1.47467,0.622167,3.00267
123093-9644,James Harden,PG/SG,LAC,BOS,Confirmed,9400,57.4,47.8,57.4,47.8,5.085106382978723,27.44,22.176885678506537,0,100,108.279,221.8638,50.8348,41.5,49.25,57.125,61.375,68,76,47.801,38.55,46.25,53.95,58.2,64.75,72.9005,47.801,38.55,46.25,53.95,58.2,64.75,72.9005,49.5976,40.55,48,55.55,59.75,66.1025,74.2005,11.5517,11.4074,11.4074,11.1734,24.6304,35.7928,4.30316,3.51442,7.03708,1.52667,5.51042,9.13659,0.815666,0.4785,4.40283
123093-157908,Alperen Sengun,C,HOU,ORL,Confirmed,9500,57.4,47.51,58.6,47.51,5.001052631578947,7.97,7.815260579792969,0,100,115.3213,225.21859999999998,48.054,41.5,48,54.75,58.25,64.875,72.25,47.5068,40.75,47.5,54.45,58.1,64.85,72.45,47.5068,40.75,47.5,54.45,58.1,64.85,72.45,48.315,41.7375,48.3,55.0625,58.7,65.3025,72.7505,10.0624,10.3982,10.3982,10.1842,22.3388,34.8849,7.34941,1.11625,10.6081,2.30342,8.30475,6.37292,1.15417,0.768084,2.83658
123093-157833,Jalen Johnson,PF/SF,ATL,PHO,Confirmed,9100,45.5,45.91,45.5,45.91,5.045054945054945,11.87,11.040830311065573,0,100,112.8215,226.703,46.5905,37.75,44.25,51.1562,54.75,61.2562,68.5013,45.9145,36.6,43.55,50.6,54.45,61.0025,68.5505,45.9145,36.6,43.55,50.6,54.45,61.0025,68.5505,46.5908,37.6,44.3,51.15,54.9,61.25,68.453,10.0451,10.3298,10.3298,10.0875,20.2905,33.8974,6.60866,1.54492,9.15775,1.81742,7.34033,6.4785,1.16958,0.616417,2.62033
123093-145539,Deni Avdija,SF/PF,POR,DAL,Confirmed,8400,48.7,44.81,48.7,44.81,5.33452380952381,22.66,18.270844585923623,0,100,118.9152,234.377,46.3726,39,45.75,52.375,56.375,62.75,70.375,44.8065,37.3,44.05,50.75,54.75,61.3025,68.8005,44.8065,37.3,44.05,50.75,54.75,61.3025,68.8005,45.9056,38.55,45.25,51.75,55.7,62.05,69.2,10.1169,10.2,10.2,9.97624,23.8608,34.1023,6.13867,2.5365,7.99508,1.66542,6.32967,5.95437,1.02154,0.673833,3.23137
123093-58460,Devin Booker,PG/SG,PHO,ATL,Confirmed,9300,40.9,44.67,40.9,44.67,4.803225806451613,14.81,13.314609195886568,0,100,113.8815,226.703,46.3137,38.375,45.25,52.125,55.875,62.25,70.3763,44.673,36.75,43.7,50.55,54.3,60.6,68.7005,44.673,36.75,43.7,50.55,54.3,60.6,68.7005,45.66,37.95,44.65,51.4,55.05,61.2,69.201,10.1539,10.1578,10.1578,9.94241,27.7087,35.1782,7.54808,2.33808,3.58259,0.746583,2.836,7.52775,0.794833,0.286583,2.76042
123093-9524,Stephen Curry,PG,GS,NO,Confirmed,8700,15.5,42.73,18.5,42.73,4.911494252873563,19.78,17.23290357452307,0,100,118.4982,228.6794,45.5541,38,45.125,52.125,56.125,63.25,71.7513,42.7305,35.35,42.25,49.05,52.9,59.75,67.901,42.7305,35.35,42.25,49.05,52.9,59.75,67.901,43.7004,36.6,43.35,49.9,53.665,60.25,68.5,10.6647,10.3272,10.3272,10.0868,28.5592,32.0962,4.57233,5.31775,4.139,0.803584,3.33541,4.95475,1.025,0.4715,3.05358
123093-157851,Franz Wagner,SF/PF,ORL,HOU,Confirmed,8300,45,42.41,45,42.41,5.109638554216867,22.75,19.18832780101009,0,100,109.8973,225.21859999999998,43.1674,36.125,43.625,50.75,54.875,61.625,69.375,42.4057,35.2,42.8,50.4,54.4,61.35,69.7005,42.4057,35.2,42.8,50.4,54.4,61.35,69.7005,43.0484,36.1,43.5,50.8,54.65,61.5,69.5005,10.9573,11.207,11.207,10.9095,26.1189,34.9498,7.46108,2.0255,5.58425,1.4805,4.10375,4.59133,1.57142,0.419333,2.83534
123093-80810,De'Aaron Fox,PG,SA,SAC,Confirmed,7800,47.9,42.11,47.9,42.11,5.398717948717949,27.31,22.178760160159364,0,100,122.937,240.3172,42.8833,36.75,43.375,50,53.625,60,67.2525,42.1107,35.85,42.6,49.35,53.25,59.55,67.402,42.1107,35.85,42.6,49.35,53.25,59.55,67.402,42.7254,36.65,43.15,49.75,53.55,59.55,67.151,9.92188,10.1626,10.1626,9.85155,25.1621,33.2501,6.87492,2.385,3.85184,0.854583,2.99725,6.39866,1.50241,0.490333,2.65991
123093-203764,Alex Sarr,C/PF,WAS,BKN,Confirmed,8100,14.1,42.04,14.1,42.04,5.190123456790124,31.07,24.812730484511903,0,100,116.2337,231.478,41.7764,32.75,39.375,46.125,49.875,56.125,63.375,42.0391,32.55,39.45,46.6,50.5,57.2,64.7015,42.0391,32.55,39.45,46.6,50.5,57.2,64.7015,42.4356,33.15,39.85,46.9,50.8,57.3,64.9005,9.93526,10.378,10.378,10.2218,16.7295,30.9921,4.69175,1.88675,9.2495,1.98134,7.26817,4.17192,0.904666,1.55708,1.75525
123093-59358,Domantas Sabonis,C/PF,SAC,SA,Confirmed,8200,46.1,41.58,46.1,41.58,5.070731707317073,17.74,15.198101678991652,0,100,117.3802,240.3172,42.5809,36.25,43.125,49.625,53.375,59.875,67,41.5757,35.1,42.05,48.85,52.7,59.35,66.951,41.5757,35.1,42.05,48.85,52.7,59.35,66.951,42.4777,36.15,42.925,49.65,53.35,60.0525,67.1005,10.1057,10.3462,10.3462,10.1625,19.6498,32.9938,7.09325,0.69225,12.4021,2.51016,9.89194,4.22341,0.816833,0.45475,2.63758
123093-67026,Jaylen Brown,SF/SG,BOS,LAC,Confirmed,8500,61.1,41.32,61.1,41.32,4.861176470588235,17.25,14.727785118804341,0,100,113.5848,221.8638,42.4875,35.5,41.75,48.5,52.125,58.5,65.5025,41.3181,34.35,40.7,47.2625,50.9575,57.75,64.9015,41.3181,34.35,40.7,47.2625,50.9575,57.75,64.9015,41.9541,35.2,41.35,47.65,51.35,57.8025,65.0005,9.59032,9.67165,9.67165,9.40576,25.8748,33.1485,7.46858,2.3935,5.3045,1.3375,3.967,4.47292,1.16758,0.319167,2.39058
123093-203723,Stephon Castle,SG/PG,SA,SAC,Confirmed,7900,11.5,40.07,11.5,40.07,5.072151898734177,23.94,19.87304332123419,0,100,122.937,240.3172,40.4172,33.5,39.375,45.75,49.375,55.1312,63,40.0672,32.65,39.15,45.5125,49.35,55.5,63.45,40.0672,32.65,39.15,45.5125,49.35,55.5,63.45,40.5334,33.5,39.6,45.8,49.55,55.4,63.101,9.20053,9.60322,9.60322,9.22758,18.4044,33.1286,4.80534,1.77583,5.82492,1.29233,4.53258,6.81375,1.78284,0.39325,2.7775
123093-110354,Nic Claxton,C,BKN,WAS,Confirmed,6400,47.1,39.89,48.3,39.89,6.2328125000000005,31.39,24.004518453266073,0,100,115.2443,231.478,38.6232,32,37.875,44.25,47.625,53.5,60.75,39.8873,32.7375,39.15,46,49.65,56.15,63.651,39.8873,32.7375,39.15,46,49.65,56.15,63.651,40.2377,33.2,39.5,46.15,49.95,56.15,63.6505,9.02919,9.81742,9.81742,9.6389,16.9699,31.4681,7.1215,0.136667,8.36925,1.81875,6.5505,4.32392,0.842583,1.67533,1.5135
123093-80812,Lauri Markkanen,PF/SF,UTA,CHI,Confirmed,8000,69.4,39.8,69.4,39.8,4.975,12.6,11.760726135262376,0,100,118.8193,242.0745,41.241,34,41,48.125,52.125,58.75,67,39.7962,32.65,39.625,46.7,50.7,57.1525,65.35,39.7962,32.65,39.625,46.7,50.7,57.1525,65.35,40.4068,33.4,40.25,47.1625,51.1,57.45,65.7,10.5042,10.4299,10.4299,10.2348,27.1064,35.1316,5.81825,3.51675,5.91942,1.26634,4.65309,1.80625,0.877417,0.787667,2.08734
123093-188405,Amen Thompson,SG/PG,HOU,ORL,Confirmed,8000,26,39.47,26,39.47,4.93375,12.81,11.938576868806699,0,100,115.3213,225.21859999999998,38.7291,32.75,38.625,44.875,48.25,54,60.75,39.4721,33.05,39.45,46.125,49.7,55.705,63.2505,39.4721,33.05,39.45,46.125,49.7,55.705,63.2505,39.6763,33.45,39.65,46.05,49.55,55.4,62.55,9.07887,9.70942,9.70942,9.37368,18.8556,34.1053,6.75741,0.67125,6.20992,1.35375,4.85616,5.33275,1.84142,0.679667,2.23083
123093-84682,Michael Porter,PF/SF,BKN,WAS,Confirmed,7500,53.3,39.27,53.3,39.27,5.236,25.18,21.103586855709274,0,100,115.2443,231.478,41.0677,32,38.75,45.75,49.625,56.1312,64,39.2673,30.35,37,43.8,47.4575,54.1,61.4505,39.2673,30.35,37,43.8,47.4575,54.1,61.4505,39.5935,30.9375,37.25,44,47.65,54.05,61.401,10.1678,9.84101,9.84101,9.66387,23.4193,33.2901,4.43866,3.97625,7.33058,1.65909,5.6715,1.64858,0.902417,0.491583,1.63408
123093-14514,Nikola Vucevic,C,CHI,UTA,Confirmed,7300,47.4,38.75,48.6,38.75,5.308219178082192,4.37,4.850945974376491,0,100,123.2552,242.0745,39.2455,33.25,39.375,45.75,49.125,55.0062,62,38.7471,32.8,38.85,45.45,48.85,55.1,62.151,38.7471,32.8,38.85,45.45,48.85,55.1,62.151,39.0306,33.2,39.15,45.5,48.9,54.95,61.701,9.13517,9.31511,9.31511,9.09601,17.6956,30.2575,5.65383,1.66675,10.3521,2.17492,8.17725,3.77425,1.04825,0.611667,1.54983
123093-9646,Kevin Durant,SF/PF,HOU,ORL,Confirmed,8100,48,38.53,48,38.53,4.75679012345679,8.65,8.582568068309051,0,100,115.3213,225.21859999999998,39.7468,33,39.25,45.75,49.25,55.25,61.375,38.5337,31.75,37.9,44.55,48.15,54.1,60.451,38.5337,31.75,37.9,44.55,48.15,54.1,60.451,39.5782,32.95,39,45.45,49,54.85,61.051,9.31378,9.46627,9.46627,9.24162,25.8972,35.3485,7.34275,2.06059,4.27625,0.91675,3.3595,3.784,0.8725,0.643583,3.05258
123093-145304,Onyeka Okongwu,C/PF,ATL,PHO,Confirmed,6800,49.3,38.4,49.3,38.4,5.647058823529411,1.5,1.9947481069062385,0,100,112.8215,226.703,37.9804,32,38.375,44.875,48.375,54.8812,62.375,38.3966,32.1,38.75,45.65,49.5,56.2,64.001,38.3966,32.1,38.75,45.65,49.5,56.2,64.001,38.6641,32.5,39.025,45.75,49.45,56.05,63.6005,9.60483,10.0952,10.0952,9.89989,20.0704,31.6415,6.70284,0.98925,9.46075,1.87875,7.582,1.748,0.980083,1.17875,1.44116
123093-14528,Jimmy Butler,SF/PF,GS,NO,Confirmed,7900,39.6,37.94,39.6,37.94,4.80253164556962,12.68,11.643842484899011,0,100,118.4982,228.6794,37.7673,31.25,37,42.875,46,51.625,58.125,37.9416,31.25,37.1,43.1,46.55,52.4,58.8,37.9416,31.25,37.1,43.1,46.55,52.4,58.8,38.0709,31.55,37.35,43.1,46.55,52.1025,58.5,8.60958,8.96582,8.96582,8.72178,17.9746,31.9005,5.53675,0.81175,6.59075,1.277,5.31375,5.41467,1.19217,0.41275,1.52434
123093-70827,Ivica Zubac,C,LAC,BOS,Confirmed,7400,38.4,37.83,38.4,37.83,5.1121621621621625,3.22,3.728613996201468,0,100,108.279,221.8638,37.7621,30.125,36,42,45.375,51.125,57.6263,37.8349,29.8875,35.95,42.15,45.7,51.9025,59.25,37.8349,29.8875,35.95,42.15,45.7,51.9025,59.25,38.4004,30.55,36.5,42.7,46.15,52.4,59.301,8.79874,9.23672,9.23672,9.10138,17.2645,31.522,7.17084,0.0479167,11.5913,2.44967,9.14167,1.67508,0.486416,0.9175,1.69591
