DFS ID,Name,Pos,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,PTS,Min,2PT,3PT,RB,Off Reb,Def Reb,AST,STL,BLK,TO
40823875,Josh Giddey,PG/G/UTIL,CHI,UTA,Confirmed,9700,72.25,50.17,71,50.17,5.1721649484536085,25.91,21.205847558509365,0,100,123.2552,242.0745,50.1655,43.625,50.625,57.75,61.5,67.875,75.625,49.3488,42.75,49.85,57.25,61,67.65,75.8515,49.3488,42.75,49.85,57.25,61,67.65,75.8515,50.1425,43.7,50.65,57.85,61.45,68.05,75.601,10.3914,10.7262,10.7262,10.4361,20.7773,32.9348,6.74866,1.76575,9.31875,1.99683,7.32192,9.84258,1.47467,0.622167,3.00267
40823881,Alperen Sengun,C/UTIL,HOU,ORL,Confirmed,9400,60,48.05,61.25,48.05,5.111702127659574,14.63,13.257948286683463,0,100,115.3213,225.21859999999998,48.054,41.5,48,54.75,58.25,64.875,72.25,47.5068,40.75,47.5,54.45,58.1,64.85,72.45,47.5068,40.75,47.5,54.45,58.1,64.85,72.45,48.315,41.7375,48.3,55.0625,58.7,65.3025,72.7505,10.0624,10.3982,10.3982,10.1842,22.3388,34.8849,7.34941,1.11625,10.6081,2.30342,8.30475,6.37292,1.15417,0.768084,2.83658
40823889,Jalen Johnson,PF/F/UTIL,ATL,PHX,Confirmed,9100,50,46.59,50,46.59,5.11978021978022,22.52,19.07410254841789,0,100,112.8215,226.703,46.5905,37.75,44.25,51.1562,54.75,61.2562,68.5013,45.9145,36.6,43.55,50.6,54.45,61.0025,68.5505,45.9145,36.6,43.55,50.6,54.45,61.0025,68.5505,46.5908,37.6,44.3,51.15,54.9,61.25,68.453,10.0451,10.3298,10.3298,10.0875,20.2905,33.8974,6.60866,1.54492,9.15775,1.81742,7.34033,6.4785,1.16958,0.616417,2.62033
40823898,Deni Avdija,PF/F/UTIL,POR,DAL,Confirmed,8800,50,46.37,50,46.37,5.269318181818181,25.65,21.039145519613886,0,100,118.9152,234.377,46.3726,39,45.75,52.375,56.375,62.75,70.375,44.8065,37.3,44.05,50.75,54.75,61.3025,68.8005,44.8065,37.3,44.05,50.75,54.75,61.3025,68.8005,45.9056,38.55,45.25,51.75,55.7,62.05,69.2,10.1169,10.2,10.2,9.97624,23.8608,34.1023,6.13867,2.5365,7.99508,1.66542,6.32967,5.95437,1.02154,0.673833,3.23137
40823878,Devin Booker,PG/G/UTIL,PHX,ATL,Confirmed,9500,41.5,46.31,41.5,46.31,4.874736842105263,14.73,14.00827144416896,0,100,113.8815,226.703,46.3137,38.375,45.25,52.125,55.875,62.25,70.3763,44.673,36.75,43.7,50.55,54.3,60.6,68.7005,44.673,36.75,43.7,50.55,54.3,60.6,68.7005,45.66,37.95,44.65,51.4,55.05,61.2,69.201,10.1539,10.1578,10.1578,9.94241,27.7087,35.1782,7.54808,2.33808,3.58259,0.746583,2.836,7.52775,0.794833,0.286583,2.76042
40823886,Stephen Curry,PG/G/UTIL,GSW,NOP,Confirmed,9100,18.25,45.55,20.25,45.55,5.005494505494505,17.73,16.271204375822684,0,100,118.4982,228.6794,45.5541,38,45.125,52.125,56.125,63.25,71.7513,42.7305,35.35,42.25,49.05,52.9,59.75,67.901,42.7305,35.35,42.25,49.05,52.9,59.75,67.901,43.7004,36.6,43.35,49.9,53.665,60.25,68.5,10.6647,10.3272,10.3272,10.0868,28.5592,32.0962,4.57233,5.31775,4.139,0.803584,3.33541,4.95475,1.025,0.4715,3.05358
40823901,Franz Wagner,SF/F/UTIL,ORL,HOU,Confirmed,8700,45.75,43.17,45.75,43.17,4.962068965517242,17.1,15.790790563710148,0,100,109.8973,225.21859999999998,43.1674,36.125,43.625,50.75,54.875,61.625,69.375,42.4057,35.2,42.8,50.4,54.4,61.35,69.7005,42.4057,35.2,42.8,50.4,54.4,61.35,69.7005,43.0484,36.1,43.5,50.8,54.65,61.5,69.5005,10.9573,11.207,11.207,10.9095,26.1189,34.9498,7.46108,2.0255,5.58425,1.4805,4.10375,4.59133,1.57142,0.419333,2.83534
40823904,Lauri Markkanen,PF/F/UTIL,UTA,CHI,Confirmed,8500,69.25,41.24,69.25,41.24,4.851764705882353,11.58,11.435342126474879,0,100,118.8193,242.0745,41.241,34,41,48.125,52.125,58.75,67,39.7962,32.65,39.625,46.7,50.7,57.1525,65.35,39.7962,32.65,39.625,46.7,50.7,57.1525,65.35,40.4068,33.4,40.25,47.1625,51.1,57.45,65.7,10.5042,10.4299,10.4299,10.2348,27.1064,35.1316,5.81825,3.51675,5.91942,1.26634,4.65309,1.80625,0.877417,0.787667,2.08734
40823907,Kevin Durant,SF/F/UTIL,HOU,ORL,Confirmed,8400,50.75,39.75,50.75,39.75,4.732142857142858,8.3,8.790317724479241,0,100,115.3213,225.21859999999998,39.7468,33,39.25,45.75,49.25,55.25,61.375,38.5337,31.75,37.9,44.55,48.15,54.1,60.451,38.5337,31.75,37.9,44.55,48.15,54.1,60.451,39.5782,32.95,39,45.45,49,54.85,61.051,9.31378,9.46627,9.46627,9.24162,25.8972,35.3485,7.34275,2.06059,4.27625,0.91675,3.3595,3.784,0.8725,0.643583,3.05258
40823913,Nikola Vucevic,C/UTIL,CHI,UTA,Confirmed,8100,48,39.25,49.25,39.25,4.845679012345679,5.99,6.661673517436034,0,0,123.2552,242.0745,39.2455,33.25,39.375,45.75,49.125,55.0062,62,38.7471,32.8,38.85,45.45,48.85,55.1,62.151,38.7471,32.8,38.85,45.45,48.85,55.1,62.151,39.0306,33.2,39.15,45.5,48.9,54.95,61.701,9.13517,9.31511,9.31511,9.09601,17.6956,30.2575,5.65383,1.66675,10.3521,2.17492,8.17725,3.77425,1.04825,0.611667,1.54983
