entry_id,contest_id,contest_name,entry_fee,PG,PG,SG,SG,SF,SF,PF,PF,C,"","Instructions"
"3612560732","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","","1) Edit your lineup by inserting any player from this list into their appropriate position columns"
"3612560733","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"3612560734","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited"
"3612560735","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","","4) You can not use this form to create new entries"
"3612560736","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","",""
"3612560737","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
"3612560738","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-55062:Nikola Jokic,123147-55062,C,Nikola,Nikola Jokic,Jokic,65.14166768391927,12,12800,CHI@DEN,DEN,CHI,P,Wrist,,,,C
"3612560739","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-40199:Giannis Antetokounmpo,123147-40199,PF,Giannis,Giannis Antetokounmpo,Antetokounmpo,59.80833435058594,12,12300,MIL@CLE,MIL,CLE,P,Knee,,,,PF
"3612560741","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-84680:Shai Gilgeous-Alexander,123147-84680,PG,Shai,Shai Gilgeous-Alexander,Gilgeous-Alexander,53.83571515764509,14,11400,OKC@NO,OKC,NO,,,,,,PG
"3612560742","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-157808:Cade Cunningham,123147-157808,PG,Cade,Cade Cunningham,Cunningham,51.66363525390625,11,10800,IND@DET,DET,IND,Q,Hip,,,,PG
"3612560743","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-145331:Tyrese Maxey,123147-145331,PG,Tyrese,Tyrese Maxey,Maxey,54.1000010172526,12,10100,LAC@PHI,PHI,LAC,,,,,,PG
"3612560744","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-15755:Anthony Davis,123147-15755,C/PF,Anthony,Anthony Davis,Davis,42.539999389648436,5,9800,DAL@MIN,DAL,MIN,O,Calf,,,,PF/C
"3612560745","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-157905:Josh Giddey,123147-157905,PG/SG,Josh,Josh Giddey,Giddey,49.429998779296874,10,9600,CHI@DEN,CHI,DEN,,,,,,PG/SG
"3612560746","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-58462:Karl-Anthony Towns,123147-58462,C/PF,Karl-Anthony,Karl-Anthony Towns,Towns,45,12,9500,NY@MIA,NY,MIA,,,,,,PF/C
"3612560747","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-9644:James Harden,123147-9644,PG/SG,James,James Harden,Harden,47.26666768391927,12,9500,LAC@PHI,LAC,PHI,,,,,,PG/SG
"3612560748","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-145321:Anthony Edwards,123147-145321,SG/SF,Anthony,Anthony Edwards,Edwards,41.18889024522569,9,9400,DAL@MIN,MIN,DAL,,,,,,SG/SF
"3612560749","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-66113:Donovan Mitchell,123147-66113,SG/PG,Donovan,Donovan Mitchell,Mitchell,46.708333333333336,12,9300,MIL@CLE,CLE,MIL,,,,,,PG/SG
"3612560750","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-145485:LaMelo Ball,123147-145485,PG,LaMelo,LaMelo Ball,Ball,46.92857142857143,7,9200,CHA@TOR,CHA,TOR,,,,,,PG
